Participant Number	Participant group	Age group	Gender	House type	Task 1-time	Task 1-satisfaction	Task 2-time	Task 2-satisfaction	Task 3-time	Task 3-satisfaction	Task 4-time	Task 4-satisfaction	Task 5-time	Task 5-satisfaction	Q1	Q2	Q3	Q3b	Q4	Q4b	Q5	Q5b	Q6	Q6b	Q7
8245	A	26 to 35	Female	Student residence	00:00:15:720	1	00:00:50:276	1	00:01:44:543	2	00:01:00:139	1	00:01:07:538	2	1	2	3		4		Yes		Yes		
466	A	26 to 35	Male	Private house	00:00:02:098	1	00:00:18:360	1	00:00:19:400	3	00:00:46:143	1	00:01:32:224	4	1	4	5	it was more organized and I could see the information that I need, the shelf interface didn't show me the information that I want and some not necessary information. 	5	I don't need to spend a lot of time for interaction with people and finding the available stuff that I need so definitely I would check the lending machine first and if it was not available then I would consider using other methods such as calling my friends.	Yes		No	I don't want to lend my stuff unless I know that I can get them back when I need them below 2 h	
2757	A	19 to 25	Male	Private house	00:00:25:153	2	00:00:30:714	1	00:01:14:344	3	00:01:11:181	3	00:00:37:555	2	2	3	2	I think the list interface is better than the shelf interface. Some items having similar outlook may appear confusing to the user, as it did in my case with the drilling machine and the hair dryer. You can add hover text to the shelf items to avoid that confusion.	5	The lending machine concept is fantastic. Its more like I know which items are available and I won't have to hassle and wait for items to appear in facebook. At the same time, the lending machine concept is geographically appealing because its in my vicinity. Facebook people may not be around or may not check notifications.	Yes		No	I am not sure what's the incentive for me if I am lending an item. Probably I will get to borrow some day. But what if some person breaks my iron or drilling machine? My roommates often leave the lunch boxes that he borrowed for me unclean and untidy. Sometimes it makes me angry. So I am looking for the incentive from the lender's perspective.	I like the concept. It might work well inside a high rise apartment building. I am just curious to know how this system will incentivize lenders to lend their machines, how to grow this community of mutual benefits. But overall its a nice concept and I like the animation for lending and borrowing.
2105	A	26 to 35	Male	Student residence	00:00:07:603	1	00:00:14:371	1	00:00:50:631	2	00:00:54:174	2	00:00:58:913	2	1	1	2	the list is I found more informative than the shelf. It shows more details like the name of the owner and the name of the tool as well	4	I'd say it is more convenient. I ask for something then somebody just put there then I collect it. no need to meet in person for the exchange which is a bit safer and convenient. I don't have to schedule for a presence in person. However, it depends on the number of people using the app and the machine. But if the borrowing without a machine is more accessible by people and more traditional then it wins in this case.	Yes		Yes		maybe little colors to the app would be helpful :)
2589	B	36 to 45	Female	Student residence	00:00:55:910	2	00:01:18:692	2	00:01:13:423	2	00:00:23:142	2	00:00:00:000	2	2	2	3		4	Its better if the person its not available	Yes		Yes		Language selection
5115	B	26 to 35	Male	Private house	00:00:29:580	1	00:00:52:605	1	00:01:04:231	1	00:01:14:863	1	00:00:56:014	1	1	1	5	It shows what is available and not directly in the first page	5	If the person is not around I can still get the item I need from the machine	Yes		Yes		It would be great if I could specify when I will return the item I borrowed from Lendy so that other people know that berfore contacting me
7994	B	19 to 25	Male	Private house	00:00:12:559	3	00:00:52:438	2	00:01:36:939	1	00:00:41:836	1	00:01:04:352	1	2	1	2	The shelf interface was just more restrictive.	3		Yes		Yes		
9500	B	19 to 25	Male	Student residence	00:00:47:502	2	00:00:46:216	1	00:00:51:175	1	00:00:34:929	1	00:00:51:108	2	1	2	2	The list interface displayed more information regarding the owner which may influence my decision regarding the borrowing transaction.	1	The lending machine can be a common place for everyone and may also be an easier pick up and drop off point for the borrower and the lender.	Yes		Yes	This may depend on the value of the item and its purpose	Perhaps after collecting enough data from transactions between users, an incentive to join and use Lendy for borrowing and lending items can be added. Another suggestion was to collect the number of transactions done by the user and display that as a level of trust in the borrower. Finally, as part of the item's description, the condition of the item may be relevant to the borrower as well as any technical information needed to use the item such as power input required for a drill for example to operate it safely.
9893	C	26 to 35	Female	Private house	00:00:54:849	1	00:01:23:661	1	00:01:04:346	4	00:00:31:925	2	00:01:21:829	4	1	1	1		1		undefined		undefined		1.How would the machine know if I'm returning the right item ( i need this confidence if I was the lender). 2. I liked the list interface much better because it gives me an idea of how many items i can look through.3.I would have liked a rating of the items in use.. like how good/bad they function, if they have any glitches... After each use, we can give it a rating
46	C	19 to 25	Female	Student residence	00:00:19:917	2	00:00:11:364	2	00:01:18:296	2	00:00:30:347	2	00:00:36:851	2	1	1	1		1		undefined		undefined		Like the idea. Avoid communication and waiting when I need something immediately/not in the mood communicating with people. Might need to confirm if the item is in the same condition as before when returning it.
